1000,7
2000,12
3000,17
4000,23
5000,30
6000,36
7000,43
8000,48
9000,54
10000,65
11000,67
12000,72
13000,78
14000,84
15000,90
16000,96
17000,100
18000,106
19000,99
20000,103
21000,109
22000,114
23000,119
24000,124
25000,129
26000,143
27000,148
28000,144
29000,150
30000,164
31000,169
32000,165
33000,184
34000,174
35000,180
36000,185
37000,190
38000,208
39000,213
40000,205
41000,223
42000,216
43000,234
44000,225
45000,231
46000,235
47000,246
48000,246
49000,252
50000,272
51000,261
52000,267
53000,271
54000,291
55000,298
56000,287
57000,311
58000,297
59000,302
60000,307
61000,313
62000,336
63000,348
64000,328
65000,353
66000,338
67000,343
68000,349
69000,380
70000,359
71000,363
72000,369
73000,398
74000,380
75000,385
76000,414
77000,395
78000,401
79000,405
80000,411
81000,440
82000,422
83000,427
84000,432
85000,437
86000,442
87000,447
88000,452
89000,489
90000,486
91000,467
92000,473
93000,478
94000,512
95000,488
96000,493
97000,526
98000,534
99000,508
100000,544
